Item,Sentence
15021:56,"i've, i've talked to some who 's really had some bad experience"
136110:19,i think he has some interesting things on it.
37846:61,"not if you can read or write, or do, or un-, understand some science."
84152:34,so i just cut the leaves off and transplant and put some other plants down. because i want them to come back up next year.
156896:23,"i think i've seen some statistics that  say that, uh, it 's more expensive  to kill somebody than to keep them in prison for life."
23994:24,use the same hoi sin sauce and some of the frozen mixed vegetables.
152067:34,"unless you, unless you have some vacation time or some, some sick leave or whatever, um, you kind of have  to finagle your way around  to get that time."
105043:10,"i got some good recipes from them sometimes,"
96042:48,"i mean it was, it was just almost laughable in some instances that, you know,"
126455:10,"uh, some of that unfortunately is legal."
172225:11,"i have some games , of course, which i play  on there"
63417:44,and i think they're working on  building a jogging track and some other things.
137794:5,some of these muddy driveways could use it around here.
99291:5,"some of those male coaches, that might really,"
39753:27,"cause, we have some, some local ones."
130514:28,"and i mostly went to germany and visited some friends of my family and, uh, hung out with them, worked a bit on one of their farms and also went to a youth camp."
164352:16,i think in some cases it  doesn't matter if it's a deterrent or not.
56072:31,"and they, they've started some recycling campaigns that  a year before that had been turned down  because they said, well, it's not feasible,"
119842:10,"we bought some walkie-talkies a couple of years ago for christmas,"
157934:65,"well, i do think with working parents it is, i mean, there are some real issues here. um, that i think, um,"
14969:24,i guess i've had some good experience and some bad experience with them.
145536:63,"i, in fact, i've, i've even, uh, heard some people that  have applied for credit cards with much less, uh rates and have paid off their, you know higher interest rate, uh cards and just sent them back, you know."
24962:14,"in, uh, some places, uh, you couldn't go to a public school."
146198:134,"well, one thing that i like  about this fabric painting thing is i can just make a t shirt and put a little ruffle around it and then, um, cut out a little pattern  from the material, from some material, like flowers or something, and make, um, a design or, you know, a little arrangement or something on the shirt and, you know, fuse it on with heat and bond, or whatever and then paint around it."
123419:8,and some paper or something in the super dome up in the roof caught on fire.
120455:28,"and they had, uh, some names, some companies that  sold mustang parts,"
92861:25,"and i guess maybe there are some parts of that,"
84205:26,"the blooms  are, on some of them is yellow, purple, white. just all different colors."
27780:99,"but when i do play, uh, and begin  to reacquire skills  i inevitably fall in love with country western music which  tends  to be in some ways easy to play  for a, for a new piano player."
112989:20,"but, but some people don't have a choice."
134228:135,"but, i, um, tend to all the, planting the annuals and, and the spraying and, um,  taking care of them and maybe putting flowers in, you know, throughout that season, and later on maybe planting some mums and that kind of stuff and, um, any kind of decorating for the holidays, you know,"
155148:17,we could talk about some of the long range goals
77309:26,"what do you think  are some current trends in, uh, the way families spend time together , based on what you've seen ."
158550:31,"and it must have reflected, uh, uh, some awful good, uh, diplomacy on the part of the u s."
78394:33,"i've become very aware of different political views because some of the things we have  to discuss  are very politically motivated or whatever,"
108182:40,i guess you have  to take some things and leave some things.
168217:7,"and some of it, sometimes it's serious"
57861:27,"um, looking back, like maybe some of the things that i know  now, i, i'm not sure i do believe it was worth the cost in dollars and lives."
88001:41,"that would provide, uh, possibly some relief there to utilize some of the property taxes for other things, see."
149669:184,"um, what  really bothers me is it just seems like if, if anyone were  to say, you know, well i'm going  to raise taxes and cut the budget and we're mumblex, we're going  to have  to do some unpopular things, i mean, he wouldn't have a chance of getting elected ."
73755:84,"people are being a little more, oh, i don't know, a little le-, a little less bigoted in some ways,"
113957:66,"man our cr-, our, uh, prisons are so crowded that, uh, they can commit some pretty serious crimes and be set  free within a year to two."
35674:29,and so she's going  to get some money for that and take some money from the bank and then try  to make as much down payment as possible  to keep the monthly payment low.
134169:64,"maybe to you and i who  have grown up in some in, uh, uh, some more beautiful parts of the country, uh, i think that, that, uh, we become a little more aware , uh, rather quickly of, of what 's happening with air pollution and how, uh, how horrible it really is ."
164073:37,"and we weren't aware of it, and just slipped on some black ice and went into another car,"
165280:27,well it sounds like you've had some good experiences with that
106437:19,but i think that at some times it can be the right thing to do
14653:39,"and i went because my dad can usually get a hold of some free tickets, because a lot of those doctors have season tickets,"
169898:50,"do you think that in the case of the one that you've actually had some experience with , that the people who  operate it seem  to have, what you'd perceive of  as genuine concern."
166634:38,"oh, here's  an easy way to make some money ."
98932:25,"that, those are some important points."
166971:48,"um, s-, s-, naturally some, some things you just can't find  in your local k-mart or, or, uh, bryn mawr stereo dealer."
6395:54,"well, you know, t i, you know, t i offers some good stuff"
24421:69,"and it, and if it's possible even get some experience at it or at least watch some people do it."
30438:27,"and, you know, it's got some stuff on it."
165750:14,"i've driven some, uh, tauruses  over the last couple of years when i've been on business trips . uh, as rental cars."
46244:16,"some, some places do have guard gates that you have  to get through , or electronic access gates and things like that."
15261:95,"i think that maybe that's why some people do it  is, uh, to see the other cultures or, you know and some of that."
89580:13,and i enjoy some of the michael j. fox movies.
137317:74,"do they still have the, uh, the scenic, uh, roadways that  cut through the center of some of those trees."
3226:17,"like, give me some examples."
94280:31,"for all the inside parts you brown hamburger and put some, um, tomato sauce in it,"
96724:27,"so, there are some, some strides  to be made  there."
171931:87,"that you miss   sitting home in your parlor, you know, uh, with, with a six pack of beer and some, uh, potato chips, you know"
48103:10,they need some attention.
38063:54,"it's basically just data entry and running, you know, some, some software"
29177:102,"they need  to put some sternness back into the, into the teachers and let them be able  to, uh, get the old whip out and get some discipline."
40705:25,"we all need that time, just some quiet time  to wind down from the day ."
6414:31,"uh, i can see some, some potential changes that  probably are, are, would not cost very much but might, uh, make things a little easier. such as offering a, a smorgasbord. having a larger variety of benefits"
166085:182,"and then, sometimes i, i often, uh, find that maybe there's so many different things available to us. yo-, a microwave, a v c r, a answering machine a, you know, a special, a dishwasher, uh, a refrigerator and some of those items, um, for the, for the, uh,"
138155:36,and i kind of drew up some simple plans to make some book shelves
85965:39,"and, and, uh,, i think some different things  could come from what 's happened , than what we expect ."
38581:37,but that has a little bit  to do with some of the things that i read .
27808:28,i find it  very interesting that some television shows that i enjoy  i particularly like the music.
159110:25,"and i think maybe that avoids some of these totally ridiculous, you know, like millions and millions of dollars."
138174:28,"and, uh, sounds like you got some real nice tools, too."
171967:54,"i, i kind of agree with that, because i think in some cases, uh, the jury may not even have, the information about other crimes the person has committed ."
53690:14,"you've got some kids that 'll pick up on it in the first three minutes you're talking about it ,"
25010:18,"uh, we also have some two year college."
8884:22,so i guess i get some of both.
82021:22,"um, we've actually had some warnings in, uh, raleigh uh, on air pollution."
138291:137,"i'd, i'd kind of like  to, to look at equipment like a lathe or like you say, a table saw and some of those things that  would make, uh, some pretty nice, uh, pieces of, uh, well, wood, for, for different things for tables, for, for, uh, chairs, for, you know, decks and so forth"
74560:83,"and then i would provide, uh, use the money that we've paying them   to, uh, provide some special help in training and particularly, uh, mentor teachers  to work with the beginning teachers and the teachers who  may have been at it a long time but have been making the same mistakes for a long time."
19161:75,"the evidence is that, uh, you know, he's, he's let some, some stuff  go, you know, the east german situation."
106391:27,this is going  to give me some more places to go .
24959:32,"maybe we do, we need some more catholic schools,"
85193:35,"likewise, we, uh, we do some projects every now and then."
121941:10,"they have some delicious, delicious things,"
147067:15,"i know that some of the schools they have, uh, country western day or something like that one, you know, or tacky day,"
143578:37,"you must see kids with real significant problems, uh, in some cases."
123812:31,"uh, it, there's some trees like the oaks,"
167299:10,they had some property there
103701:14,"we'll have some interesting discussion, i guess ."
69750:37,"so you ha-, you have been to some family reunions, perhaps."
121775:50,"um, maybe some rolls and, um, i guess  some, uh, some rice or something like that."
24421:47,"and it, and if it's possible even get some experience at it or at least watch some people do it."
83966:23,it was starting  to burn some oil.
157049:37,"well, i, i think on some of it, you have  to say someone's responsible for his actions."
46132:24,"if you get  to watch some of these,"
108856:37,"you can't understand what they're saying  on some of those songs which  probably is just as well on some of them, too."
37616:97,"it seems that what you really need  to do   to win though, is to have a team that  has reasonable talent and has some people that  have, have, have real breakthrough years."
147613:4,some people say oh the boys shouldn't have  to do those jobs. the inside jobs.
174455:135,"the only commitments that they're interested in  making  or even talking about  are ones for flash value like, uh, the trip to mars. which  is, would, would produce some useful scientific research and so forth,"
7265:10,"we did some remodeling when we bought a house ,"
99956:17,"christmas time, uh, some of our relatives would come up from alabama,"
170937:25,"and they finding, in some cases they're finding it 's just not worth it to work because it's all going out in daycare."
8865:67,but one of the things that i do  when i've got some spare time  is i do some woodworking.
58800:5,"some of the stuff is good,"
116197:36,"uh, there are supposed  to be, uh, some people f-, moving down here from colorado springs for t i."
109040:25,"we, we had some friends over as recently as saturday night"
74797:57,"i measured it one time, because i was, uh, we had saw some termites"
7091:13,"and, then, some people they get so wrapped up in them that they find, you know, one day they find, wow, i didn't realize i had this much, you know, i'd spent this much money."
148456:26,"i, i like some of it, um,"
142083:38,"some, uh, you know, i have some good shots and some bad shots."
57651:63,"i'm convinced that the small v eight like the, the mustang's original two eighty-nine or some of the chevy two eighty-threes, were good little v eight engines that  were not gas guzzlers"
7526:63,the elections where they have that topic  seem  to be a little bit better  attended than some of the other ones.
68658:19,"but, if there are some people who  don't agree uh, then there must be, it seems  to be there must be at least a reasonable doubt for some people."
16570:13,"and, um, some people don't like that, that, film on the pudding"
8867:13,"and i made some, um, candle sconces that you hang  on the..."
125063:17,"and then, um, some other credit cards, like store credit cards, you know, i do have them up there a little bit,"
121793:56,"you know, i want to, i want  to throw some charcoal on the grill and, and throw a steak  on there and some baked potatoes and stuff like that"
154774:35,"and i think that keeps a lot, some people from  exercising."
87654:69,"i guess some of the best things i've ever had , um, i, some of them were just hors d'oeuvres, you know."
62771:99,"and i thought well, if i had, uh, a nic-, a nice little, um, tape recorder, you know, so that i could put some good music on in there for her every once in a while. and then also so that i can, uh, uh, copy, uh, parts off, i, i do some musicals and things like this and if i can copy sections off that i can use  someplace so i figured well this will be good."
163289:195,"and i, i guess i'll do this for, i was doing this for, actually, i was going  to do it for my son so that he could, uh, he, he's in high school, so that he could make some money."
37263:24,"i mean, i've done some of both."
32953:43,"and i've got some broccoli, uh, onions some, some radishes and, uh, uh, beets."
23634:28,i imagine in argentina you've got some great foods.
108521:93,"uh, lot of the shows that, that i've liked  in the past, like, uh, oh, golden girls and, some of them tend  to get so risque,"
67780:49,"and the dog was being house sit , or dog sit , whatever, by some friends of mine down the street,"
168606:48,"not so much because, uh, it's bad per se, although there is some pretty crappy programming"
27798:15,but he does have some things.
120747:13,something giving you some affection as well.
47856:7,"and some of them don't,"
114202:81,"and, uh, they, they promote service on the part of the kids to, to, uh, some of those people."
23630:11,what are some of your favorite foods .
87467:20,"uh, she can't eat some cream cheese."
168976:57,"and they, they at least have, now they have at least some marginally marketable skills and more discipline."
166762:101,"because, uh, i th-, you know, i think for a lot of people it really is the decision of, do they still have some of their life left."
123797:41,"i was up, i was up there cutting some firewood this weekend,"
63076:40,and then i went to colorado springs the next week  to do some training at the t i up there.
54840:11,"how about some of the ads,"
18547:110,"my, my wife and i, we planted on the, on the south side of our, of our house we planted some gardenias."
7017:34,"well the, the other thing some people are not aware of , is they will use their a, their credit card like their visa or their mastercard for cash"
65258:45,"and i hope we, hope we did them some good, uh, on their little computer dealy."
15216:13,"like i do some volunteer work here and there,"
13420:11,"i get some of these things  in the mail that i wonder, where in the world did they get my address  or where did they get my name  ."
80877:63,so you really don't have  to be disrupted for more than about a weekend. if you have some help.
38947:33,"i was, i was making some little things for christmas,"
154517:48,"and, uh, i was kind of interested  to hear cause they had some people from the e p a and lots of different places"
105338:42,"uh, some people just, uh, i've heard some people just talking in our group of friends that they just feel it's an invasion of privacy and things like that,"
36611:16,"um, up here some of the state parks are really nice"
22419:43,you didn't get a big kick out of  killing them like some people do.
54865:37,"so, we're probably going  to like rent those some time and then try  to see godfather part three somewhere."
171972:37,"uh, i, i think that in some cases that's considered  to prejudice the current case"
82503:72,"um, i, i was taking a voice i o class and, um, and actually doing some research,"
170188:22,we actually do some work with some people down at georgia tech.
19360:7,"and some of the countries that  were forced  in at th-, later dates is the three baltic countries, you know,  came in, in the forties,"
77593:15,what  are some of the things that you did  with your children when they were growing up .
166799:28,"at least, i mean i think some nursing homes do that."
17008:76,"i mean, pretty much a lot of people would know about it, you know, and, and know some of the different things about it"
118769:33,"i've, i've heard some horrible, horrible stories about high, high school teachers"
148372:13,and i like some of their songs.
83450:9,"and indeed some juries are no longer twelve people,"
30439:48,"it's got a nice little word processing software on it, you know, and some budgeting type things and stuff."
46441:47,"i went to the far east, uh, back in october  to do some training for t i"
9762:24,even in for kids watching some of it can be a little violent sometimes and stuff.
163122:31,"i think at each wal-mart, they had some recycling dumpsters and things like that, which  now,"
106565:53,"well that's, yeah, that's right that the children have some responsibility   too, to their parents and such, to help decide what s the right thing."
154338:10,i like some country music.
138340:30,"i mean i'm sure there's some good ones,"
19284:42,"and i think he's actually, honestly trying  to do some change."
98822:22,"well, th-, some of that,"
18087:40,i haven't watch any other ones on t v. just on some of the tapes.
103868:139,"i mean, i'm, i'm not saying i, i think capital murder or capital punishment is the perfect solution in every case, you know, especially because there are some cases when you just don't know"
130065:25,"well, i guess there are some places, uh, in the north, in particular that, uh,  have a real definite way of encouraging you to recycle"
